Bug_ID,Project,Bug_Number,Category,Change_Pattern,Blame_Suitable,Feasibility_Ratio,Total_Additions,Total_Deletions
Math_91,Math,91,SH,mix,1,0.50,2,2
Math_92,Math,92,SFMH,mix,1,0.11,6,49
Math_93,Math,93,SFMH,mix,1,0.17,2,10
Math_94,Math,94,SL,mix,1,0.50,1,1
Math_95,Math,95,SFMH,mix,1,0.25,1,3
Math_96,Math,96,SL,mix,1,0.50,1,1
Math_97,Math,97,SFMH,mix,1,0.11,2,16
Math_98,Math,98,MFMH,mix,1,0.50,2,2
Math_99,Math,99,SFMH,pure_deletion,0,0.00,0,8
Math_100,Math,100,SFMH,mix,1,0.50,3,3
Math_101,Math,101,SH,mix,1,0.33,1,2
Math_102,Math,102,SFMH,pure_deletion,0,0.00,0,17
Math_103,Math,103,SFMH,pure_deletion,0,0.00,0,10
Math_104,Math,104,SL,mix,1,0.50,1,1
Math_105,Math,105,SL,mix,1,0.50,1,1
Math_106,Math,106,SFMH,pure_deletion,0,0.00,0,8
Cli_1,Cli,1,SFMH,mix,1,0.49,30,31
Cli_2,Cli,2,SFMH,mix,1,0.40,2,3
Cli_3,Cli,3,SH,mix,1,0.08,1,11
Cli_4,Cli,4,SH,mix,1,0.25,1,3
Cli_5,Cli,5,SH,pure_deletion,0,0.00,0,3
Cli_7,Cli,7,SFMH,mix,1,0.50,2,2
Cli_8,Cli,8,SL,mix,1,0.50,1,1
Cli_9,Cli,9,SFMH,mix,1,0.33,1,2
Cli_10,Cli,10,SFMH,mix,1,0.33,1,2
Cli_11,Cli,11,SL,mix,1,0.50,1,1
Cli_12,Cli,12,SFMH,mix,1,0.14,1,6
Cli_13,Cli,13,MFMH,mix,1,0.09,1,10
Cli_14,Cli,14,SFMH,mix,1,0.50,3,3
Cli_15,Cli,15,SFMH,mix,1,0.26,5,14
Cli_16,Cli,16,MFMH,pure_deletion,0,0.00,0,15
Cli_17,Cli,17,SL,pure_deletion,0,0.00,0,1
Cli_18,Cli,18,SFMH,mix,1,0.71,5,2
Cli_19,Cli,19,SFMH,mix,1,0.50,2,2
Cli_20,Cli,20,SFMH,mix,1,0.31,4,9
Cli_21,Cli,21,MFMH,pure_deletion,0,0.00,0,34
Cli_22,Cli,22,SFMH,mix,1,0.41,9,13
Cli_23,Cli,23,SFMH,mix,1,0.45,5,6
Cli_24,Cli,24,SH,pure_addition,1,0.67,2,1
Cli_25,Cli,25,SL,mix,1,0.50,1,1
Cli_26,Cli,26,SFMH,mix,1,0.17,1,5
Cli_27,Cli,27,SFMH,mix,1,0.50,2,2
Cli_28,Cli,28,SL,mix,1,0.50,1,1
Cli_29,Cli,29,SFMH,pure_addition,1,0.75,6,2
Cli_30,Cli,30,MFMH,mix,1,0.20,4,16
Cli_31,Cli,31,MFMH,mix,1,0.50,4,4
Cli_32,Cli,32,SH,pure_addition,1,0.83,5,1
Cli_33,Cli,33,SFMH,mix,1,0.05,1,18
Cli_34,Cli,34,MFMH,mix,1,0.50,2,2
Cli_35,Cli,35,SH,pure_deletion,0,0.00,0,3
Cli_36,Cli,36,MFMH,mix,1,0.50,3,3
Cli_37,Cli,37,SFMH,mix,1,0.12,1,7
Cli_38,Cli,38,SFMH,mix,1,0.17,1,5
Cli_39,Cli,39,SFMH,mix,1,0.08,1,12
Cli_40,Cli,40,SL,mix,1,0.50,1,1
Csv_1,Csv,1,SL,mix,1,0.50,1,1
Csv_2,Csv,2,SFMH,pure_deletion,0,0.00,0,7
Csv_3,Csv,3,SFMH,pure_deletion,0,0.00,0,3
Csv_4,Csv,4,SL,mix,1,0.50,1,1
Csv_5,Csv,5,SFMH,pure_deletion,0,0.00,0,2
Csv_6,Csv,6,SFMH,pure_deletion,0,0.00,0,2
Csv_7,Csv,7,SFMH,pure_deletion,0,0.00,0,4
Csv_8,Csv,8,SFMH,mix,1,0.54,7,6
Csv_9,Csv,9,SH,pure_deletion,0,0.00,0,3
Csv_10,Csv,10,SH,pure_deletion,0,0.00,0,3
Csv_11,Csv,11,SL,mix,1,0.50,1,1
Csv_12,Csv,12,SL,mix,1,0.50,1,1
Csv_13,Csv,13,MFMH,mix,1,0.33,2,4
Csv_14,Csv,14,SL,mix,1,0.50,1,1
Csv_15,Csv,15,SH,pure_addition,1,0.75,3,1
Csv_16,Csv,16,SFMH,mix,1,0.25,2,6
Closure_1,Closure,1,SH,pure_deletion,0,0.00,0,3
Closure_2,Closure,2,SFMH,pure_deletion,0,0.00,0,4
Closure_3,Closure,3,SFMH,mix,1,0.20,2,8
Closure_4,Closure,4,SFMH,mix,1,0.50,2,2
Closure_5,Closure,5,SH,pure_deletion,0,0.00,0,3
Closure_6,Closure,6,SFMH,pure_addition,1,1.00,8,0
Closure_7,Closure,7,SFMH,mix,1,0.17,1,5
Closure_8,Closure,8,SFMH,pure_deletion,0,0.00,0,4
Closure_9,Closure,9,SFMH,mix,1,0.33,1,2
Closure_10,Closure,10,SL,mix,1,0.50,1,1
Closure_11,Closure,11,SH,pure_addition,1,1.00,2,0
Closure_12,Closure,12,SH,pure_deletion,0,0.00,0,6
Closure_13,Closure,13,SFMH,mix,1,0.50,1,1
Closure_14,Closure,14,SL,mix,1,0.50,1,1
Closure_15,Closure,15,SH,pure_deletion,0,0.00,0,3
Closure_16,Closure,16,SFMH,mix,1,0.25,3,9
Closure_17,Closure,17,SFMH,mix,1,0.17,1,5
Closure_18,Closure,18,SL,mix,1,0.50,1,1
Closure_19,Closure,19,SFMH,pure_deletion,0,0.00,0,2
Closure_20,Closure,20,SH,mix,1,0.33,1,2
Closure_21,Closure,21,SFMH,pure_addition,1,0.90,19,2
Closure_22,Closure,22,SFMH,pure_addition,1,0.93,26,2
Closure_23,Closure,23,SFMH,mix,1,0.12,1,7
Closure_24,Closure,24,SFMH,mix,1,0.43,3,4
Closure_25,Closure,25,SFMH,pure_addition,1,0.67,4,2
Closure_26,Closure,26,SFMH,pure_deletion,0,0.00,0,5
Closure_27,Closure,27,SFMH,mix,1,0.33,3,6
Closure_28,Closure,28,SH,pure_deletion,0,0.00,0,4
Closure_29,Closure,29,SFMH,pure_deletion,0,0.00,0,10
Closure_30,Closure,30,MFMH,mix,1,0.17,2,10
Closure_31,Closure,31,SL,pure_addition,1,1.00,1,0
Closure_32,Closure,32,SFMH,mix,1,0.17,3,15
Closure_33,Closure,33,SH,pure_deletion,0,0.00,0,3
Closure_34,Closure,34,MFMH,pure_addition,1,0.62,5,3
Closure_35,Closure,35,SH,pure_addition,1,0.88,15,2
Closure_36,Closure,36,SH,pure_deletion,0,0.00,0,3
Closure_37,Closure,37,MFMH,mix,1,0.17,1,5
Closure_38,Closure,38,SL,mix,1,0.50,1,1
Closure_39,Closure,39,SFMH,mix,1,0.50,3,3
Closure_40,Closure,40,SFMH,pure_addition,1,0.75,3,1
Closure_41,Closure,41,SFMH,pure_deletion,0,0.00,0,9
Closure_42,Closure,42,SFMH,pure_deletion,0,0.00,0,7
Closure_43,Closure,43,SFMH,pure_deletion,0,0.00,0,17
Closure_44,Closure,44,SFMH,pure_deletion,0,0.00,0,2
Closure_45,Closure,45,SFMH,mix,1,0.25,2,6
Closure_46,Closure,46,SH,pure_addition,1,1.00,16,0
Closure_47,Closure,47,MFMH,mix,1,0.27,3,8
Closure_48,Closure,48,SFMH,mix,1,0.36,4,7
Closure_49,Closure,49,SFMH,mix,1,0.36,8,14
Closure_50,Closure,50,SFMH,mix,1,0.14,1,6
Closure_51,Closure,51,SFMH,mix,1,0.20,1,4
Closure_52,Closure,52,SL,mix,1,0.50,1,1
Closure_53,Closure,53,SFMH,pure_deletion,0,0.00,0,4
Closure_54,Closure,54,MFMH,mix,1,0.20,3,12
Closure_55,Closure,55,SH,mix,1,0.33,1,2
Closure_56,Closure,56,SFMH,pure_deletion,0,0.00,0,4
Closure_57,Closure,57,SL,mix,1,0.50,1,1
Closure_58,Closure,58,SFMH,pure_deletion,0,0.00,0,4
Closure_59,Closure,59,SH,mix,1,0.33,1,2
Closure_60,Closure,60,SFMH,pure_deletion,0,0.00,0,5
Closure_61,Closure,61,SH,pure_deletion,0,0.00,0,6
Closure_62,Closure,62,SL,mix,1,0.50,1,1
Closure_64,Closure,64,SFMH,mix,1,0.50,4,4
Closure_65,Closure,65,SL,mix,1,0.50,1,1
Closure_66,Closure,66,SFMH,pure_deletion,0,0.00,0,2
Closure_67,Closure,67,SL,mix,1,0.50,1,1
Closure_68,Closure,68,SFMH,mix,1,0.25,1,3
Closure_69,Closure,69,SH,pure_deletion,0,0.00,0,7
Closure_70,Closure,70,SL,mix,1,0.50,1,1
Closure_71,Closure,71,SL,mix,1,0.50,1,1
Closure_72,Closure,72,MFMH,mix,1,0.25,1,3
Closure_73,Closure,73,SL,mix,1,0.50,1,1
Closure_74,Closure,74,SFMH,mix,1,0.12,2,15
Closure_75,Closure,75,SFMH,mix,1,0.20,1,4
Closure_76,Closure,76,SFMH,mix,1,0.14,6,37
Closure_77,Closure,77,SL,pure_deletion,0,0.00,0,1
Closure_78,Closure,78,SFMH,pure_addition,1,1.00,2,0
Closure_79,Closure,79,MFMH,mix,1,0.33,1,2
Closure_80,Closure,80,SFMH,pure_deletion,0,0.00,0,2
Closure_81,Closure,81,SH,pure_deletion,0,0.00,0,7
Closure_82,Closure,82,SH,mix,1,0.25,1,3
Closure_83,Closure,83,SH,mix,1,0.20,1,4
Closure_84,Closure,84,SFMH,pure_deletion,0,0.00,0,27
Closure_85,Closure,85,SFMH,mix,1,0.64,14,8
Closure_86,Closure,86,SL,mix,1,0.50,1,1
Closure_87,Closure,87,SFMH,mix,1,0.07,1,13
Closure_88,Closure,88,SFMH,pure_deletion,0,0.00,0,6
Closure_89,Closure,89,MFMH,mix,1,0.20,1,4
Closure_90,Closure,90,MFMH,mix,1,0.20,1,4
Closure_91,Closure,91,SH,pure_deletion,0,0.00,0,9
Closure_92,Closure,92,SL,mix,1,0.50,1,1
Closure_94,Closure,94,SFMH,pure_deletion,0,0.00,0,19
Closure_95,Closure,95,SFMH,pure_deletion,0,0.00,0,7
Closure_96,Closure,96,SFMH,mix,1,0.20,1,4
Closure_97,Closure,97,SH,mix,1,0.33,1,2
Closure_98,Closure,98,SFMH,pure_deletion,0,0.00,0,19
Closure_99,Closure,99,SFMH,mix,1,0.14,1,6
Closure_100,Closure,100,SFMH,mix,1,0.11,1,8
Closure_101,Closure,101,SFMH,pure_addition,1,0.75,3,1
Closure_102,Closure,102,SFMH,mix,1,0.50,1,1
Closure_103,Closure,103,MFMH,pure_deletion,0,0.00,0,8
Closure_104,Closure,104,SL,mix,1,0.50,1,1
Closure_105,Closure,105,SFMH,mix,1,0.42,5,7
Closure_106,Closure,106,MFMH,mix,1,0.33,2,4
Closure_107,Closure,107,SL,pure_deletion,0,0.00,0,1
Closure_108,Closure,108,SFMH,mix,1,0.20,1,4
Closure_109,Closure,109,SH,mix,1,0.17,1,5
Closure_110,Closure,110,MFMH,mix,1,0.14,4,25
Closure_111,Closure,111,SH,mix,1,0.33,1,2
Closure_112,Closure,112,SH,mix,1,0.25,3,9
Closure_113,Closure,113,SL,mix,1,0.50,1,1
Closure_114,Closure,114,SL,mix,1,0.50,1,1
Closure_115,Closure,115,SFMH,pure_addition,1,1.00,11,0
Closure_116,Closure,116,SFMH,pure_deletion,0,0.00,0,12
Closure_117,Closure,117,SFMH,mix,1,0.50,12,12
Closure_118,Closure,118,SH,pure_deletion,0,0.00,0,3
Closure_119,Closure,119,SL,pure_deletion,0,0.00,0,1
Closure_120,Closure,120,SH,pure_deletion,0,0.00,0,3
Closure_121,Closure,121,SFMH,mix,1,0.25,1,3
Closure_122,Closure,122,SH,mix,1,0.33,1,2
Closure_123,Closure,123,SL,mix,1,0.50,1,1
Closure_124,Closure,124,SFMH,pure_deletion,0,0.00,0,2
Closure_125,Closure,125,SL,mix,1,0.50,1,1
Closure_126,Closure,126,SH,pure_addition,1,1.00,4,0
Closure_127,Closure,127,SFMH,mix,1,0.09,1,10
Closure_128,Closure,128,SFMH,mix,1,0.20,1,4
Closure_129,Closure,129,SH,pure_deletion,0,0.00,0,3
Closure_130,Closure,130,SL,mix,1,0.50,1,1
Closure_131,Closure,131,SFMH,mix,1,0.33,1,2
Closure_132,Closure,132,SH,mix,1,0.25,1,3
Closure_133,Closure,133,SL,pure_deletion,0,0.00,0,1
Closure_134,Closure,134,MFMH,mix,1,0.37,10,17
Closure_135,Closure,135,MFMH,pure_deletion,0,0.00,0,8
Closure_136,Closure,136,MFMH,mix,1,0.70,21,9
Closure_137,Closure,137,MFMH,mix,1,0.37,43,72
Closure_138,Closure,138,MFMH,mix,1,0.29,4,10
Closure_139,Closure,139,SFMH,mix,1,0.03,1,32
Closure_140,Closure,140,SFMH,mix,1,0.40,6,9
Closure_141,Closure,141,MFMH,mix,1,0.11,3,25
Closure_142,Closure,142,MFMH,pure_deletion,0,0.00,0,6
Closure_143,Closure,143,MFMH,mix,1,0.33,2,4
Closure_144,Closure,144,MFMH,mix,1,0.09,4,43
Closure_145,Closure,145,SFMH,pure_deletion,0,0.00,0,13
Closure_146,Closure,146,SH,mix,1,0.33,1,2
Closure_147,Closure,147,MFMH,mix,1,0.12,1,7
Closure_148,Closure,148,MFMH,mix,1,0.34,77,150
Closure_149,Closure,149,MFMH,mix,1,0.32,8,17
Closure_150,Closure,150,SH,pure_addition,1,0.94,15,1
Closure_151,Closure,151,SFMH,pure_deletion,0,0.00,0,13
Closure_152,Closure,152,SH,mix,1,0.20,1,4
Closure_153,Closure,153,MFMH,mix,1,0.43,20,26
Closure_154,Closure,154,MFMH,mix,1,0.42,19,26
Closure_155,Closure,155,MFMH,mix,1,0.05,4,70
Closure_156,Closure,156,SFMH,mix,1,0.32,11,23
Closure_157,Closure,157,MFMH,mix,1,0.19,15,63
Closure_158,Closure,158,MFMH,mix,1,0.28,30,76
Closure_159,Closure,159,SH,pure_addition,1,0.57,4,3
Closure_160,Closure,160,SFMH,mix,1,0.50,4,4
Closure_161,Closure,161,SH,pure_deletion,0,0.00,0,3
Closure_162,Closure,162,MFMH,mix,1,0.33,20,40
Closure_163,Closure,163,MFMH,mix,1,0.29,53,127
Closure_164,Closure,164,SFMH,pure_deletion,0,0.00,0,17
Closure_165,Closure,165,MFMH,mix,1,0.06,2,29
Closure_166,Closure,166,SH,pure_deletion,0,0.00,0,6
Closure_167,Closure,167,MFMH,mix,1,0.48,14,15
Closure_168,Closure,168,SL,mix,1,0.50,1,1
Closure_169,Closure,169,MFMH,mix,1,0.23,36,119
Closure_170,Closure,170,SFMH,mix,1,0.18,3,14
Closure_171,Closure,171,MFMH,mix,1,0.60,6,4
Closure_172,Closure,172,SFMH,pure_deletion,0,0.00,0,6
Closure_173,Closure,173,MFMH,mix,1,0.17,6,29
Closure_174,Closure,174,MFMH,mix,1,0.29,6,15
Closure_175,Closure,175,SFMH,mix,1,0.50,19,19
Closure_176,Closure,176,SFMH,mix,1,0.33,4,8
Codec_1,Codec,1,MFMH,mix,1,0.50,3,3
Codec_2,Codec,2,SL,mix,1,0.50,1,1
Codec_3,Codec,3,SL,mix,1,0.50,1,1
Codec_4,Codec,4,SL,mix,1,0.50,1,1
Codec_5,Codec,5,SH,pure_deletion,0,0.00,0,3
Codec_6,Codec,6,SFMH,mix,1,0.17,1,5
Codec_7,Codec,7,SL,mix,1,0.50,1,1
Codec_8,Codec,8,MFMH,pure_addition,1,1.00,10,0
Codec_9,Codec,9,SL,mix,1,0.50,1,1
Codec_10,Codec,10,SL,mix,1,0.50,1,1
Codec_11,Codec,11,SFMH,mix,1,0.17,11,52
Codec_12,Codec,12,SFMH,pure_deletion,0,0.00,0,29
Codec_13,Codec,13,MFMH,mix,1,0.01,1,77
Codec_14,Codec,14,MFMH,mix,1,0.01,6,624
Codec_15,Codec,15,SFMH,mix,1,0.45,5,6
Codec_16,Codec,16,SL,mix,1,0.50,1,1
Codec_17,Codec,17,SL,mix,1,0.50,1,1
Codec_18,Codec,18,SL,mix,1,0.50,1,1
Jsoup_1,Jsoup,1,SH,mix,1,0.50,2,2
Jsoup_2,Jsoup,2,SL,pure_deletion,0,0.00,0,1
Jsoup_3,Jsoup,3,MFMH,mix,1,0.33,21,43
Jsoup_4,Jsoup,4,SFMH,mix,1,0.50,3,3
Jsoup_5,Jsoup,5,SH,mix,1,0.33,1,2
Jsoup_6,Jsoup,6,SFMH,mix,1,0.50,2,2
Jsoup_7,Jsoup,7,SFMH,pure_deletion,0,0.00,0,22
Jsoup_8,Jsoup,8,SFMH,mix,1,0.20,1,4
Jsoup_9,Jsoup,9,SL,mix,1,0.50,1,1
Jsoup_10,Jsoup,10,SH,pure_deletion,0,0.00,0,2
Jsoup_11,Jsoup,11,SFMH,pure_deletion,0,0.00,0,25
Jsoup_12,Jsoup,12,SFMH,mix,1,0.06,1,15
Jsoup_13,Jsoup,13,SH,pure_deletion,0,0.00,0,5
Jsoup_14,Jsoup,14,MFMH,pure_deletion,0,0.00,0,8
Jsoup_15,Jsoup,15,SL,mix,1,0.50,1,1
Jsoup_16,Jsoup,16,SFMH,mix,1,0.33,2,4
Jsoup_17,Jsoup,17,SL,mix,1,0.50,1,1
Jsoup_18,Jsoup,18,SFMH,mix,1,0.33,1,2
Jsoup_19,Jsoup,19,SH,pure_deletion,0,0.00,0,2
Jsoup_20,Jsoup,20,SH,pure_deletion,0,0.00,0,2
Jsoup_21,Jsoup,21,MFMH,mix,1,0.36,9,16
Jsoup_22,Jsoup,22,MFMH,mix,1,0.08,2,23
Jsoup_23,Jsoup,23,MFMH,mix,1,0.05,1,19
Jsoup_24,Jsoup,24,SL,pure_addition,1,1.00,1,0
Jsoup_25,Jsoup,25,SL,mix,1,0.50,1,1
Jsoup_26,Jsoup,26,SL,pure_deletion,0,0.00,0,1
Jsoup_27,Jsoup,27,SFMH,mix,1,0.33,1,2
Jsoup_28,Jsoup,28,MFMH,mix,1,0.59,38,26
Jsoup_29,Jsoup,29,SFMH,mix,1,0.33,1,2
